index,value
初期時刻,0 ~ 0
初期座標 x,2.5831 ~ 2.5831
初期座標 y,-1 ~ -1
初期座標 theta,0.46365 ~ 0.46365
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.11614 ~ -0.11614
初期座標 omega,0.026924 ~ 0.026924
終端時刻,90 ~ 90
終端座標 x,6.5831 ~ 6.5831
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.11614 ~ -0.11614
終端座標 omega,0.026924 ~ 0.026924
状態境界 x,2.5831 ~ 6.5831
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,483
soln.info.funcCount,353653
soln.info.constrviolation,1.2143e-15
soln.info.stepsize,1.8092e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,0.00026274
soln.info.cgiterations,182
soln.info.bestfeasible.fval,69.6104
soln.info.nlpTime,63.6391
soln.info.exitFlag,2
