index,value
初期時刻,0 ~ 0
初期座標 x,2.7831 ~ 2.7831
初期座標 y,0 ~ 0
初期座標 theta,0.32175 ~ 0.32175
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.053897 ~ -0.053897
初期座標 omega,0.017342 ~ 0.017342
終端時刻,90 ~ 90
終端座標 x,5.7831 ~ 5.7831
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.053897 ~ -0.053897
終端座標 omega,0.017342 ~ 0.017342
状態境界 x,2.7831 ~ 5.7831
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,171
soln.info.funcCount,125264
soln.info.constrviolation,1.1779e-15
soln.info.stepsize,4.5947e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,0.004113
soln.info.cgiterations,76
soln.info.bestfeasible.fval,71.5673
soln.info.nlpTime,23.1297
soln.info.exitFlag,2
