index,value
初期時刻,0 ~ 0
初期座標 x,2.7831 ~ 2.7831
初期座標 y,-1 ~ -1
初期座標 theta,0.588 ~ 0.588
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.10779 ~ -0.10779
初期座標 omega,0.031692 ~ 0.031692
終端時刻,90 ~ 90
終端座標 x,5.7831 ~ 5.7831
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.10779 ~ -0.10779
終端座標 omega,0.031692 ~ 0.031692
状態境界 x,2.7831 ~ 5.7831
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,732774
soln.info.constrviolation,3.3696e-12
soln.info.stepsize,0.004278
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.219e-06
soln.info.cgiterations,13
soln.info.bestfeasible.fval,71.2787
soln.info.nlpTime,138.4596
soln.info.exitFlag,0
