index,value
初期時刻,0 ~ 0
初期座標 x,1.3835 ~ 1.3835
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0.15 ~ 0.15
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,11.3835 ~ 11.3835
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0.15 ~ 0.15
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,1.3835 ~ 11.3835
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,31
soln.info.funcCount,23456
soln.info.constrviolation,2.6959e-10
soln.info.stepsize,0.065785
soln.info.algorithm,interior-point
soln.info.firstorderopt,0
soln.info.cgiterations,55
soln.info.bestfeasible.fval,-33
soln.info.nlpTime,4.2299
soln.info.exitFlag,1
