index,value
初期時刻,0 ~ 0
初期座標 x,3.9853 ~ 3.9853
初期座標 y,-1.6569 ~ -1.6569
初期座標 theta,0 ~ 0
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.1 ~ -0.1
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,8.9853 ~ 8.9853
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.1 ~ -0.1
終端座標 omega,0 ~ 0
状態境界 x,3.9853 ~ 8.9853
状態境界 y,-2.5 ~ 2.5
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,949
soln.info.funcCount,695679
soln.info.constrviolation,5.0134e-13
soln.info.stepsize,2.234e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,286.0252
soln.info.cgiterations,5792
soln.info.bestfeasible.fval,44843.5574
soln.info.nlpTime,198.5176
soln.info.exitFlag,2
