index,value
初期時刻,0 ~ 0
初期座標 x,11 ~ 11
初期座標 y,0 ~ 0
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,11 ~ 15
状態境界 y,0 ~ 2.5
状態境界 theta,-3.14159 ~ 3.14159
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.785398 ~ 0.785398
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,733804
soln.info.constrviolation,5.9254e-13
soln.info.stepsize,0.0016675
soln.info.algorithm,interior-point
soln.info.firstorderopt,30.2142
soln.info.cgiterations,6751
soln.info.bestfeasible.fval,98148.2133
soln.info.nlpTime,192.5445
soln.info.exitFlag,0
