index,value
初期時刻,0 ~ 0
初期座標 x,2.5831 ~ 2.5831
初期座標 y,-2 ~ -2
初期座標 theta,0.6435 ~ 0.6435
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.17421 ~ -0.17421
初期座標 omega,0.037367 ~ 0.037367
終端時刻,90 ~ 90
終端座標 x,6.5831 ~ 6.5831
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.17421 ~ -0.17421
終端座標 omega,0.037367 ~ 0.037367
状態境界 x,2.5831 ~ 6.5831
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,732788
soln.info.constrviolation,4.0104e-10
soln.info.stepsize,0.10499
soln.info.algorithm,interior-point
soln.info.firstorderopt,0.00016895
soln.info.cgiterations,1236
soln.info.bestfeasible.fval,-8.5958
soln.info.nlpTime,146.866
soln.info.exitFlag,0
