index,value
初期時刻,0 ~ 0
初期座標 x,2.1833 ~ 2.1833
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0.15 ~ 0.15
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,8.1833 ~ 8.1833
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,2.1833 ~ 8.1833
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,281
soln.info.funcCount,205848
soln.info.constrviolation,2.4726e-13
soln.info.stepsize,4.1467e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.8871e-07
soln.info.cgiterations,2298
soln.info.bestfeasible.fval,-25.8782
soln.info.nlpTime,41.6212
soln.info.exitFlag,2
