index,value
初期時刻,0 ~ 0
初期座標 x,3.766 ~ 3.766
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0.56 ~ 0.56
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,11.766 ~ 11.766
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0.56 ~ 0.56
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,3.766 ~ 11.766
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,0 ~ 0.56
状態境界 vy,-0.56 ~ 0.56
状態境界 omega,-1.5708 ~ 1.5708
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,77
soln.info.funcCount,56483
soln.info.constrviolation,3.0809e-15
soln.info.stepsize,1.8938e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.0698
soln.info.cgiterations,116
soln.info.bestfeasible.fval,-16.7855
soln.info.nlpTime,10.1264
soln.info.exitFlag,2
