index,value
初期時刻,0 ~ 0
初期座標 x,4.7874 ~ 4.7874
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0.56 ~ 0.56
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,14.7874 ~ 14.7874
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0.56 ~ 0.56
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,4.7874 ~ 14.7874
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,0 ~ 0.56
状態境界 vy,-0.56 ~ 0.56
状態境界 omega,-3.1416 ~ 3.14159
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,39
soln.info.funcCount,29316
soln.info.constrviolation,6.0801e-12
soln.info.stepsize,0.0028077
soln.info.algorithm,interior-point
soln.info.firstorderopt,0
soln.info.cgiterations,60
soln.info.bestfeasible.fval,-35.25
soln.info.nlpTime,4.96
soln.info.exitFlag,1
