index,value
初期時刻,0 ~ 0
初期座標 x,10 ~ 10
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
状態境界 x,10 ~ 15
状態境界 y,0 ~ 2.5
状態境界 theta,-3.1416 ~ 3.14159
制御境界 v,-0.22 ~ 0.22
制御境界 omega,-0.7854 ~ 0.7854
soln.info.iterations,440
soln.info.funcCount,180725
soln.info.constrviolation,2.8866e-15
soln.info.stepsize,3.8889e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.1796
soln.info.cgiterations,3922
soln.info.bestfeasible.fval,114.6334
soln.info.nlpTime,26.5192
soln.info.exitFlag,2
