index,value
初期時刻,0 ~ 0
初期座標 x,3.4828 ~ 3.4828
初期座標 y,-2 ~ -2
初期座標 theta,1.1554 ~ 1.1554
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.12921 ~ -0.12921
初期座標 omega,0.049761 ~ 0.049761
終端時刻,90 ~ 90
終端座標 x,5.9828 ~ 5.9828
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.12921 ~ -0.12921
終端座標 omega,0.049761 ~ 0.049761
状態境界 x,3.4828 ~ 5.9828
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,15
soln.info.funcCount,11732
soln.info.constrviolation,1.5252e-11
soln.info.stepsize,0.0032554
soln.info.algorithm,interior-point
soln.info.firstorderopt,6.2848e-17
soln.info.cgiterations,54
soln.info.bestfeasible.fval,-24.375
soln.info.nlpTime,2.0845
soln.info.exitFlag,1
