index,value
初期時刻,0 ~ 0
初期座標 x,1.7834 ~ 1.7834
初期座標 y,-2 ~ -2
初期座標 theta,0.35877 ~ 0.35877
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.25233 ~ -0.25233
初期座標 omega,0.030176 ~ 0.030176
終端時刻,90 ~ 90
終端座標 x,9.7834 ~ 9.7834
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.25233 ~ -0.25233
終端座標 omega,0.030176 ~ 0.030176
状態境界 x,1.7834 ~ 9.7834
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,98
soln.info.funcCount,71754
soln.info.constrviolation,1.7785e-15
soln.info.stepsize,2.6278e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.4252e-07
soln.info.cgiterations,162
soln.info.bestfeasible.fval,-34.3403
soln.info.nlpTime,12.9056
soln.info.exitFlag,2
