index,value
初期時刻,0 ~ 0
初期座標 x,1.7834 ~ 1.7834
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0.15 ~ 0.15
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,90 ~ 90
終端座標 x,9.7834 ~ 9.7834
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,1.7834 ~ 9.7834
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,190
soln.info.funcCount,139293
soln.info.constrviolation,5.0123e-11
soln.info.stepsize,1.649e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.5547
soln.info.cgiterations,1392
soln.info.bestfeasible.fval,-37.6242
soln.info.nlpTime,28.6988
soln.info.exitFlag,2
