index,value
初期時刻,0 ~ 0
初期座標 x,2.5831 ~ 2.5831
初期座標 y,-2 ~ -2
初期座標 theta,0.6435 ~ 0.6435
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.17421 ~ -0.17421
初期座標 omega,0.037367 ~ 0.037367
終端時刻,90 ~ 90
終端座標 x,6.5831 ~ 6.5831
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.17421 ~ -0.17421
終端座標 omega,0.037367 ~ 0.037367
状態境界 x,2.5831 ~ 6.5831
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,732861
soln.info.constrviolation,7.0532e-12
soln.info.stepsize,0.0027485
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.6855e-05
soln.info.cgiterations,2139
soln.info.bestfeasible.fval,-9.8575
soln.info.nlpTime,147.3568
soln.info.exitFlag,0
